08/28/2023,ZZEWESSR,05/04/2023,BLACK,M,59,60000,"LARCENY, THIRD DEGREE                 DF",HARTFORD CC,NONE,ZACHARY,MARTIN
08/28/2023,ZZSSWEJE,08/23/2023,HISPANIC,M,27,750000,SEXUAL ASSAULT 1ST DEGREE-AGGRVTD      F,BRIDGEPORT CC,NONE,JOHN,FRITZ
08/28/2023,ZZRBSHEH,08/07/2023,BLACK,M,40,50150,"ASSAULT, THIRD DEGREE                 AM",HARTFORD CC,NONE,JUSTIN,SMITH
08/28/2023,ZZHZLZWL,06/01/2023,WHITE,F,36,122000,VIOLATION OF PROBATION OR COND DISCHG,YORK CI,NONE,TIFFANY,STONE
08/28/2023,ZZSHBHSE,11/05/2021,WHITE,M,50,250000,"ROBBERY, FIRST DEGREE                 BF",NEW HAVEN CC,NONE,GREG,WILLIAMS
08/28/2023,ZZSSHJWJ,05/08/2023,WHITE,M,32,250000,RECKLESS DRIVING                       M,GARNER,NONE,JOHN,VARGAS
08/28/2023,ZZHBZEHS,10/11/2022,HISPANIC,M,37,3825000,CRIMINAL ATTEMPT,WALKER RC,NONE,JOSEPH,PHILLIPS
08/28/2023,ZZRJJRCW,09/28/2022,BLACK,M,41,138002,POSSESS OF LT 4 OZ MJ OR CONTROLD SUB,BRIDGEPORT CC,NONE,BRIAN,SALAZAR
08/28/2023,ZZSHJBCJ,02/17/2023,WHITE,M,20,1002500,HOME INVASION                         AF,MANSON YI,NONE,MICHAEL,CALDWELL
08/28/2023,ZZRWJJJJ,08/18/2023,HISPANIC,M,50,50000,INTERFERING WITH AN OFFICER           AM,NEW HAVEN CC,NONE,CHARLES,EVANS
08/28/2023,ZZRSBJSB,08/24/2023,BLACK,M,45,55000,VIOLATION OF PROBATION OR COND DISCHG,BRIDGEPORT CC,NONE,CHRISTOPHER,CABRERA
08/28/2023,ZZSHLWHL,08/04/2023,HISPANIC,M,25,2500000,"BURGLARY, THIRD DEGREE                DF",BRIDGEPORT CC,NONE,THOMAS,KELLEY
08/28/2023,ZZRLCRBS,07/19/2023,HISPANIC,M,44,15000,VIOLATION OF PROBATION OR COND DISCHG,HARTFORD CC,NONE,JOSEPH,ALLEN
08/28/2023,ZZRSJHZS,07/28/2023,BLACK,M,44,40000,LARCENY OF MV,HARTFORD CC,NONE,WILLIAM,COLLINS
08/28/2023,ZZHSERRR,10/22/2015,BLACK,M,33,800000,STEALING A FIREARM                    DF,MACDOUGALL,NONE,JORGE,BROOKS
08/28/2023,ZZHJJBJR,05/26/2023,BLACK,M,28,1000000,"ASSAULT, FIRST DEGREE                 BF",WALKER RC,FEDERAL,GLENN,BREWER
08/28/2023,ZZSSSELE,07/21/2023,WHITE,F,62,35000,CRIM VIOL RES ORDER                   AM,YORK CI,STATE OF CT,LAUREN,BUTLER
08/28/2023,ZZSSZRLH,06/01/2023,HISPANIC,F,24,100000,CRIMINAL ATTEMPT,YORK CI,NONE,SHELBY,MAXWELL
08/28/2023,ZZHJBCWS,12/28/2020,BLACK,M,27,1400100,MURDER                                AF,CORRIGAN CI,NONE,ANDREW,SHERMAN
08/28/2023,ZZSSZCLE,07/07/2022,WHITE,M,58,1000000,"LARCENY, FIRST DEGREE                 BF",WALKER RC,NONE,JOSEPH,SULLIVAN
08/28/2023,ZZRJHEJZ,07/11/2023,BLACK,F,41,23550,"FAILURE TO APPEAR, SECOND DEGREE      AM",YORK CI,NONE,HEATHER,JOHNSON
08/28/2023,ZZHJRSRR,11/02/2022,BLACK,M,36,1000000,"ASSAULT, FIRST DEGREE                 BF",CORRIGAN CI,NONE,DANIEL,BAIRD
08/28/2023,ZZRSBHZW,05/08/2023,BLACK,M,43,67600,CRIM VIOL OF PROTECTIVE ORDER         DF,BRIDGEPORT CC,NONE,WILLIAM,AUSTIN
08/28/2023,ZZHBJRCC,08/11/2023,BLACK,F,44,2500,"ASSAULT, THIRD DEGREE                 AM",YORK CI,NONE,NATALIE,LEE
08/28/2023,ZZHWBJJW,06/21/2023,WHITE,M,33,17500,"STALKING, 1ST DEGREE                  DF",NEW HAVEN CC,NONE,JOHN,KERR
08/28/2023,ZZHJLHZE,02/18/2021,HISPANIC,M,29,1000000,MURDER                                AF,MACDOUGALL,NONE,BRIAN,HALL
08/28/2023,ZZSHBCJE,07/12/2023,HISPANIC,F,20,385000,"FAILURE TO APPEAR, FIRST DEGREE       DF",YORK CI,NONE,RHONDA,KNIGHT
08/28/2023,ZZRSSZEL,06/14/2023,BLACK,M,48,25000,IDENTITY THEFT 3RD DEGREE             DF,BRIDGEPORT CC,NONE,PATRICK,BEASLEY
08/28/2023,ZZSRCJBE,07/31/2019,HISPANIC,M,25,110000,"ROBBERY, FIRST DEGREE                 BF",HARTFORD CC,FEDERAL,KENNETH,CALDERON
08/28/2023,ZZSRLLZZ,04/01/2022,BLACK,M,27,751000,"ASSAULT, FIRST DEGREE                 BF",MACDOUGALL,NONE,ROBERT,FORD
08/28/2023,ZZSHLELS,02/09/2021,HISPANIC,M,36,50000,"SEXUAL ASSAULT, FIRST DEGREE           F",HARTFORD CC,NONE,JEFFREY,STEPHENS
08/28/2023,ZZEWBJRE,07/19/2022,BLACK,M,53,800000,"ASSAULT, FIRST DEGREE                 BF",MACDOUGALL,NONE,CHARLES,BENTON
08/28/2023,ZZSSRLLZ,08/11/2023,WHITE,M,18,810000,INJURY OR RISK OF INJURY TO MINOR      F,NEW HAVEN CC,NONE,JOHNNY,CONTRERAS
08/28/2023,ZZRLEJWJ,06/27/2023,BLACK,M,41,320000,CRIMINAL POSSESSION OF A PISTOL       DF,HARTFORD CC,NONE,SHAWN,TODD
08/28/2023,ZZRLZLEC,07/31/2023,BLACK,M,44,100450,"FAILURE TO APPEAR, FIRST DEGREE       DF",HARTFORD CC,NONE,RONNIE,SOTO
08/28/2023,ZZSRECLZ,08/17/2023,WHITE,F,29,20000,VIOLATION OF PROBATION OR COND DISCHG,YORK CI,NONE,CRYSTAL,BOND
08/28/2023,ZZSSSJRR,08/02/2023,WHITE,M,41,25000,"LARCENY, SECOND DEGREE                CF",BRIDGEPORT CC,NONE,KYLE,KIM
08/28/2023,ZZHJCJBZ,08/21/2023,HISPANIC,F,32,10000,"LARCENY, FIRST DEGREE                 BF",YORK CI,NONE,MARY,KING
08/28/2023,ZZSHCBJH,09/21/2021,BLACK,M,20,1000000,FELONY MURDER                         AF,MANSON YI,NONE,TERRY,PRINCE
08/28/2023,ZZSHCRWJ,07/12/2021,BLACK,M,18,1000000,YOUTHFUL OFFENDER,HARTFORD CC,NONE,THOMAS,SMITH
08/28/2023,ZZSSWEWE,08/21/2023,HISPANIC,M,37,250000,SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F,BRIDGEPORT CC,NONE,JEFFREY,ROBINSON
08/28/2023,ZZSECESW,09/29/2016,BLACK,M,27,5055000,MURDER                                AF,GARNER,SPECIAL PAROLE,MARK,STEVENS
08/28/2023,ZZHLSCSE,04/14/2023,HISPANIC,M,56,100000,"SEXUAL ASSAULT, FIRST DEGREE           F",NEW HAVEN CC,NONE,GREGORY,KIM
08/28/2023,ZZHWJZSJ,10/17/2022,BLACK,M,32,5000,"LARCENY, THIRD DEGREE                 DF",NEW HAVEN CC,NONE,FRANCISCO,KENNEDY
08/28/2023,ZZHEZSZC,05/11/2021,BLACK,M,49,300000,"FAILURE TO APPEAR, FIRST DEGREE       DF",NEW HAVEN CC,OTHER STATE,WILLIAM,COOK
08/28/2023,ZZSZJJRZ,09/10/2019,BLACK,M,22,750000,CRIMINAL POSS OF PISTOL/REVOLVER      DF,HARTFORD CC,SPECIAL PAROLE,ROBERT,ZUNIGA
08/28/2023,ZZHCRCLH,06/26/2023,HISPANIC,M,32,1160000,CRIMINAL ATTEMPT,CORRIGAN CI,NONE,BRYAN,BENDER
08/28/2023,ZZSSSCCL,07/20/2023,WHITE,F,32,3000,PROSTITUTION                          AM,YORK CI,NONE,TERESA,BUTLER
08/28/2023,ZZSSSWBE,07/05/2023,BLACK,M,18,250000,"ROBBERY, FIRST DEGREE                 BF",NEW HAVEN CC,NONE,TONY,FERNANDEZ
08/28/2023,ZZHWCJRC,10/26/2021,HISPANIC,M,33,7520000,MURDER                                AF,WALKER RC,NONE,GEORGE,VILLARREAL
08/28/2023,ZZRJRLHS,02/22/2023,WHITE,M,38,110000,"ASSAULT 3RD DEGREE, VICTIM OVER 59    AM",CORRIGAN CI,NONE,JOSEPH,HORTON
